City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
24,Cape Town,ZA,-33.9258,18.4232,67.08,77,17,5.86,few clouds
25,Broken Hill,AU,-31.95,141.4333,69.21,46,3,16.82,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,68.11,56,75,5.75,broken clouds
27,Jamestown,US,42.097,-79.2353,35.19,28,0,13.8,clear sky
28,Verkhnyaya Inta,RU,65.9811,60.3094,3.34,83,23,9.24,few clouds
29,Lahat,ID,-3.8,103.5333,71.49,91,100,1.81,overcast clouds
30,Airai,TL,-8.9266,125.4092,60.35,89,88,1.83,overcast clouds
31,Tiznit,MA,29.5833,-9.5,62.64,39,6,3.4,clear sky
32,Dargaville,NZ,-35.9333,173.8833,73.13,98,100,6.49,overcast clouds
33,Qaqortoq,GL,60.7167,-46.0333,9.1,72,100,2.28,overcast clouds
34,Lircay,PE,-12.9896,-74.7205,59.54,85,100,5.37,light rain
35,Katsuura,JP,35.1333,140.3,37.51,50,49,11.68,scattered clouds
36,Norman Wells,CA,65.282,-126.8329,-10.12,95,100,10.65,overcast clouds
37,Faanui,PF,-16.4833,-151.75,81.55,75,100,20.65,overcast clouds
38,Dikson,RU,73.5069,80.5464,-19.84,99,93,10.87,overcast clouds
39,Saskylakh,RU,71.9167,114.0833,-23.78,100,96,2.35,overcast clouds
40,Port Lincoln,AU,-34.7333,135.8667,71.46,61,1,12.26,clear sky
41,Bandarbeyla,SO,9.4942,50.8122,75.31,74,73,13.76,broken clouds
42,Cidreira,BR,-30.1811,-50.2056,77.04,63,1,15.77,clear sky
43,Provideniya,RU,64.3833,-173.3,3.31,78,0,4.47,clear sky
44,Ndele,CF,8.4109,20.6473,72.39,17,77,5.73,broken clouds
45,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,75,4.61,broken clouds
46,San Patricio,US,28.017,-97.5169,66.29,58,36,5.79,scattered clouds
47,Gilgit,PK,35.9221,74.3087,29.53,82,82,1.14,broken clouds
48,Ilulissat,GL,69.2167,-51.1,1.42,66,100,6.91,overcast clouds
49,Sambava,MG,-14.2667,50.1667,75.94,89,87,5.55,overcast clouds
50,Martapura,ID,-3.4167,114.85,73.49,100,100,3.44,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,59.76,76,3,2.24,clear sky
52,Kapaa,US,22.0752,-159.319,79.12,75,75,1.99,broken clouds
53,Qaanaaq,GL,77.484,-69.3632,-13.29,59,29,7.07,scattered clouds
54,Victoria,HK,22.2855,114.1577,61.97,84,100,1.01,overcast clouds
55,Bambous Virieux,MU,-20.3428,57.7575,78.22,82,86,11.03,overcast clouds
56,Kazachinskoye,RU,57.6953,93.2761,7.2,97,100,3.04,overcast clouds
57,Koboko,UG,3.4136,30.9599,67.78,29,80,6.26,broken clouds
58,Meulaboh,ID,4.1363,96.1285,75.07,91,100,3.51,overcast clouds
59,Marawi,PH,7.9986,124.2928,63.64,93,17,1.39,few clouds
60,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,12.66,broken clouds
61,Kavieng,PG,-2.5744,150.7967,81.5,77,71,3.53,broken clouds
62,Bilma,NE,18.6853,12.9164,63.61,15,0,7.87,clear sky
63,Aksu,CN,41.1231,80.2644,21.13,50,100,2.04,overcast clouds
64,Gagra,GE,43.3283,40.2239,34.72,74,88,4.41,overcast clouds
65,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,40,18.41,scattered clouds
66,Filingue,NE,14.3521,3.3168,73.44,12,0,9.73,clear sky
67,Hermanus,ZA,-34.4187,19.2345,67.8,94,9,5.79,clear sky
